chipPath,sourceImage,bboxIndex,trueLabel,bboxXmin,bboxYmin,bboxXmax,bboxYmax,split
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_1_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_1.jpg,0,crazing,2,2,193,194,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_10_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_10.jpg,0,crazing,60,20,194,69,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_10_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_10.jpg,1,crazing,9,84,197,198,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_100_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_100.jpg,0,crazing,1,10,108,121,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_100_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_100.jpg,1,crazing,35,1,200,83,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_100_bb02.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_100.jpg,2,crazing,120,109,196,198,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_100_bb03.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_100.jpg,3,crazing,8,112,164,190,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_101_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_101.jpg,0,crazing,40,12,187,152,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_102_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_102.jpg,0,crazing,2,2,144,153,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_102_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_102.jpg,1,crazing,150,85,199,178,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_103_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_103.jpg,0,crazing,1,18,130,99,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_103_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_103.jpg,1,crazing,126,29,198,130,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_103_bb02.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_103.jpg,2,crazing,1,107,86,191,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_104_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_104.jpg,0,crazing,4,4,110,136,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_104_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_104.jpg,1,crazing,142,10,197,56,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_104_bb02.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_104.jpg,2,crazing,137,42,199,116,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/patches/crazing_104_bb03.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_104.jpg,3,patches,78,169,118,200,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_105_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_105.jpg,0,crazing,4,3,113,134,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_105_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_105.jpg,1,crazing,133,1,197,149,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_105_bb02.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_105.jpg,2,crazing,59,1,197,45,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/inclusion/crazing_105_bb03.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_105.jpg,3,inclusion,5,91,121,125,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_106_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_106.jpg,0,crazing,1,24,127,101,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_106_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_106.jpg,1,crazing,16,120,189,156,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_106_bb02.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_106.jpg,2,crazing,113,152,177,188,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_107_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_107.jpg,0,crazing,112,46,199,138,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_107_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_107.jpg,1,crazing,2,1,105,79,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_107_bb02.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_107.jpg,2,crazing,11,146,127,199,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_108_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_108.jpg,0,crazing,3,21,69,149,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_108_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_108.jpg,1,crazing,90,115,198,193,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_109_bb00.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_109.jpg,0,crazing,77,1,199,42,train
/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/results/chips/train/crazing/crazing_109_bb01.png,/Users/christopherbrantner/local/projects/portfolio/surface-defect-classifier/NEU-DET/train/images/crazing/crazing_109.jpg,1,crazing,39,38,198,87,train
